Departamento,Precipitacion
Amazonas,3375
Antioquia,1750
Antioquia,2744
Arauca,1868
Atlántico,904
Bolívar,1087
Boyacá,652
Boyacá,738
Caldas,1532
Caquetá,3759
Casanare,2330
Cauca,2095
Cesar,1008
Choco,8028
Córdoba,1282
Cundinamarca,840
Cundinamarca,1333
Guainía,3379
Guaviare,2652
Huila,1377
La Guajira,608
Magdalena,545
Magdalena,1960
Meta,4538
Nariño,823
Nariño,875
Norte de Santander,904
Putumayo,3656
Quindío,2165
Risaralda,2409
San Andrés y Providencia,1986
Santander,1189
Santander,3001
Sucre,1097
Tolima,1691
Tolima,1475
Valle,1468
Valle del Cauca,6862
Vaupés,3436
Vichada,2329
