id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
1;ARECACEAE;Acrocomia;Acrocomia aculeata;(Jacq.) Mart.;Acrocomia antioquiensis Posada-Ar.;Galeano & Bernal 1987, Henderson 1995, Henderson et al. 1995;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 629 (COL, HUA);;Andes, Llanura del Caribe, Orinoquia, Valle del Cauca, Valle del Magdalena;0 m;1300 m;Antioquia, Arauca, Atlántico, Bolívar, Boyacá, Caldas, Casanare, Cesar, Cundinamarca, La Guajira, Huila, Magdalena, Meta, Norte de Santander, Santander, Sucre, Valle;México a Paraguay
2;ARECACEAE;Aiphanes;Aiphanes duquei;Burret;;Borchsenius & Bernal 1996, Galeano & Bernal 2005, Galeano & Bernal 2010;;Arbusto, Palma solitaria;Nativa;En Peligro;Bernal 1540 (COL, TULV);Tipo de Colombia;Andes;1900 m;2600 m;Cauca, Valle;Cordillera Occidental
3;ARECACEAE;Aiphanes;Aiphanes gelatinosa;H.E.Moore;;Borchsenius & Bernal 1996, Galeano & Bernal 2010;;Arbusto, Palma cespitosa, Palma solitaria;Nativa;En Peligro;Bernal 901 (AAU, COL);Tipo de Colombia;Andes;1200 m;1200 m;Nariño;SO Colombia a NO Ecuador
4;ARECACEAE;Aiphanes;Aiphanes horrida;(Jacq.) Burret;Aiphanes aculeata Willd., Aiphanes caryotifolia (Kunth) H.Wendl.;Galeano & Bernal 1987, Borchsenius & Bernal 1996, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa y cultivada;Preocupación Menor;Bernal 50 (COL, HUA);;Andes, Orinoquia, Valle del Cauca, Valle del Magdalena;100 m;1700 m;Antioquia, Arauca, Caldas, Casanare, Cauca, Cundinamarca, Meta, Quindío, Risaralda, Santander, Tolima, Valle;Trinidad y Andes de Venezuela a Bolivia
5;ARECACEAE;Aiphanes;Aiphanes killipii;(Burret) Burret;;Bernal & Borchsenius 2010, Galeano & Bernal 2010;;Arbusto, Palma solitaria;Nativa;En Peligro Crítico;Bernal 4828 (COL);;Andes;800 m;1500 m;Santander;Cordillera Oriental
6;ARECACEAE;Aiphanes;Aiphanes lindeniana;(H.Wendl.) H.Wendl.;Aiphanes stergiosii S.M.Niño et al.;Niño et al. 2005, Bernal & Borchsenius 2010;;Arbusto, Palma solitaria;Nativa;En Peligro;Bernal 3574 (COL);;Andes;1700 m;2200 m;Norte de Santander, Santander;NE Colombia a O Venezuela
7;ARECACEAE;Aiphanes;Aiphanes parvifolia;Burret;;Borchsenius & Bernal 1996, Galeano & Bernal 2005, Galeano & Bernal 2010;;Arbusto, Palma solitaria;Nativa;En Peligro;"Bernal 1752 (NT: COL; IT: AAU, BH, HUA, JAUM, K, MO, NY)";Tipo de Colombia;Andes, Valle del Magdalena;800 m;1700 m;Antioquia, Caldas;Cordilleras Occidental y Central
8;ARECACEAE;Aiphanes;Aiphanes pilaris;R.Bernal;;Bernal 2001, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Vulnerable;"Bernal 2479 (HT: COL; IT: NY, PSO)";Conocida solo del tipo;Andes;2580 m;2580 m;Putumayo;S Colombia
9;ARECACEAE;Aiphanes;Aiphanes tricuspidata;Borchs. et al.;;Borchsenius & Bernal 1996, Galeano & Bernal 2010;;Arbusto, Palma solitaria;Nativa;Preocupación Menor;Bernal 1321 (AAU, BA, COL, K, MO, NY);;Andes, Pacífico;0 m;650 m;Cauca, Nariño, Valle;SO Colombia a SO Ecuador
10;ARECACEAE;Aiphanes;Aiphanes ulei;(Dammer) Burret;Aiphanes schultzeana Burret;Galeano 1991, Borchsenius & Bernal 1996, Galeano & Bernal 2010;;Subarbusto, Arbusto, Palma solitaria;Nativa;Preocupación Menor;Bernal 1406 (COL);;Amazonia, Andes;90 m;2200 m;Amazonas, Caquetá, Putumayo;S Colombia a Perú y O Brasil
11;ARECACEAE;Archontophoenix;Archontophoenix alexandrae;(F.Muell.) H.Wendl. & Drude;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;500 m;1600 m;Antioquia, Cundinamarca, Valle;"Queensland, Australia; cultivada en los trópicos"
12;ARECACEAE;Asterogyne;Asterogyne martiana;(H.Wendl.) Drude;;Henderson et al. 1995, Stauffer et al. 2003;;Arbusto, Palma solitaria;Nativa;Preocupación Menor;Bernal 259 (COL, HUA);;Andes, Pacífico, Valle del Magdalena;0 m;1100 m;Antioquia, Cauca, Chocó, Nariño, Risaralda, Valle;Guatemala y Belice a NO Ecuador
13;ARECACEAE;Astrocaryum;Astrocaryum chambira;Burret;;Henderson 1995, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Galeano 1301 (COAH, COL);;Amazonia, Guayana y Serranía de La Macarena, Orinoquia;100 m;500 m;Amazonas, Caquetá, Casanare, Guainía, Guaviare, Meta, Putumayo, Vaupés, Vichada;NO Amazonia
14;ARECACEAE;Astrocaryum;Astrocaryum ferrugineum;F.Kahn & B.Millán;;Kahn & Millán 1992, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Galeano 8555 (COL);;Amazonia;100 m;300 m;Amazonas;S Colombia, NO Brasil
15;ARECACEAE;Astrocaryum;Astrocaryum macrocalyx;Burret;;Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Galeano 1570 (COL);;Amazonia;300 m;300 m;Amazonas;S Colombia, NE Perú
