Departamento,Temperatura
Amazonas,25.9
Antioquia,22.5
Antioquia,26.6
Arauca,26.9
Atlántico,27.6
Bolívar,27.8
Boyacá,13.1
Boyacá,14.2
Caldas,17.0
Caquetá,25.8
Casanare,26.4
Cauca,19.3
Cesar,29.0
Choco,26.6
Córdoba,28.1
Cundinamarca,13.7
Cundinamarca,20.4
Guainía,26.5
Guaviare,25.7
Huila,27.8
La Guajira,28.3
Magdalena,28.3
Magdalena,28.5
Meta,25.6
Nariño,12.9
Nariño,11.0
Norte de Santander,27.2
Putumayo,22.9
Quindío,22.1
Risaralda,21.5
San Andrés y Providencia,27.5
Santander,21.4
Santander,27.9
Sucre,27.5
Tolima,24.0
Tolima,28.1
Valle,24.5
Valle del Cauca,26.0
Vaupés,24.7
Vichada,28.5
